epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3534,3.23758,4.36983,4.28974,0.0007,0.16932,0.00061,0.00013,2.74114,5.73407,4.15563,0.00031673,0.00031673,0.00031673
2,159.664,3.14477,4.08879,4.10556,0.00183,0.49338,0.002,0.00052,2.73666,5.59012,4.15095,0.000637257,0.000637257,0.000637257
3,237.509,3.06491,3.79572,3.87051,0.00101,0.27954,0.00177,0.00034,2.76471,5.19532,4.23176,0.000944582,0.000944582,0.000944582
4,312.916,2.95723,3.62495,3.64061,0.00247,0.41097,0.01098,0.0021,2.67629,5.04327,4.03074,0.0012387,0.0012387,0.0012387
5,389.367,2.88379,3.76863,3.46176,0.01626,0.07234,0.01256,0.00372,2.75248,5.29058,6.44754,0.00151962,0.00151962,0.00151962
6,463.816,2.85469,3.43726,3.3367,0.51757,0.02703,0.00634,0.00141,2.57847,7.48372,7.30903,0.00150197,0.00150197,0.00150197
7,538.525,2.74075,3.43873,3.25891,0.04167,0.07843,0.02521,0.00862,2.47952,117.13,6.56048,0.00146896,0.00146896,0.00146896
8,611.894,2.57371,3.153,3.17294,0.20894,0.22443,0.15154,0.04995,2.36434,5.7254,3.44173,0.00143595,0.00143595,0.00143595
9,686.157,2.58019,3.09606,3.15042,0.68861,0.12745,0.15967,0.06645,2.11423,4.64838,2.75614,0.00140295,0.00140295,0.00140295
10,762.748,2.42578,2.93936,2.98921,0.11358,0.47827,0.22151,0.08682,2.63181,35.507,4.53627,0.00136994,0.00136994,0.00136994
11,839.078,2.36199,3.0175,2.95463,0.25883,0.44542,0.2427,0.10824,2.0217,5.56479,2.65791,0.00133693,0.00133693,0.00133693
12,914.497,2.29493,2.8102,2.90206,0.41808,0.25994,0.30333,0.13968,2.13924,4.37398,2.77287,0.00130393,0.00130393,0.00130393
13,989.565,2.22656,2.66709,2.82054,0.33942,0.36539,0.29015,0.12765,1.87156,3.97799,2.57639,0.00127092,0.00127092,0.00127092
14,1064.22,2.22449,2.5953,2.78147,0.28599,0.3593,0.24173,0.1159,2.17953,4.35266,2.9594,0.00123791,0.00123791,0.00123791
15,1137.55,2.12583,2.51038,2.68136,0.40872,0.51298,0.47144,0.23035,1.70645,5.13242,2.36393,0.00120491,0.00120491,0.00120491
16,1210.27,2.08095,2.54859,2.64166,0.25199,0.37379,0.23125,0.09512,1.93772,3.66579,2.71516,0.0011719,0.0011719,0.0011719
17,1283.25,2.07354,2.40704,2.62067,0.36482,0.45151,0.30707,0.16776,1.76563,3.16698,2.43908,0.00113889,0.00113889,0.00113889
18,1356.66,1.96709,2.52433,2.55875,0.43292,0.36539,0.35577,0.18888,1.64799,3.3115,2.36669,0.00110589,0.00110589,0.00110589
