epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9221,1.19131,1.36554,1.67311,0.85776,0.78233,0.87076,0.6182,1.10733,1.13949,1.66294,0.00030006,0.00030006,0.00030006
2,143.3,1.19026,1.42019,1.73711,0.7686,0.74726,0.84039,0.64168,0.99678,1.1959,1.61814,0.000596436,0.000596436,0.000596436
3,212.678,1.26345,1.42697,1.74927,0.70678,0.60884,0.71117,0.47538,1.26226,1.79276,1.8117,0.000871908,0.000871908,0.000871908
4,282.004,1.19414,1.42401,1.72342,0.80737,0.56358,0.71571,0.4924,1.19323,1.83056,1.78544,0.00112648,0.00112648,0.00112648
5,351.045,1.22277,1.49918,1.74726,0.80501,0.63546,0.7714,0.56743,1.02183,1.42941,1.60894,0.00136014,0.00136014,0.00136014
6,420.464,1.26665,1.48092,1.79578,0.71597,0.5242,0.6505,0.45194,1.13977,1.87011,1.72993,0.00139195,0.00139195,0.00139195
7,489.726,1.29309,1.41669,1.7638,0.76034,0.6056,0.72899,0.4655,1.2393,1.84577,1.75208,0.00133693,0.00133693,0.00133693
8,558.963,1.26276,1.42296,1.75497,0.54107,0.80172,0.77364,0.53865,1.16782,1.78151,1.75347,0.00128192,0.00128192,0.00128192
9,628.303,1.25554,1.43797,1.75632,0.74205,0.74663,0.80715,0.53263,1.2067,1.60788,1.80093,0.00122691,0.00122691,0.00122691
10,697.939,1.1875,1.3552,1.71019,0.82928,0.71121,0.82013,0.60143,0.9942,1.16,1.56823,0.0011719,0.0011719,0.0011719
11,767.048,1.21106,1.45102,1.72584,0.73998,0.71914,0.75537,0.52422,1.03959,1.34961,1.60882,0.00111689,0.00111689,0.00111689
12,836.528,1.24468,1.38933,1.73285,0.74642,0.73321,0.75351,0.5187,1.13241,1.31732,1.70202,0.00106188,0.00106188,0.00106188
13,906.905,1.19943,1.31011,1.70005,0.69686,0.72627,0.75419,0.52608,1.12659,1.42649,1.6737,0.00100687,0.00100687,0.00100687
14,977.06,1.17338,1.34696,1.69028,0.73293,0.71093,0.82209,0.57135,1.1085,1.30869,1.70818,0.000951857,0.000951857,0.000951857
15,1047.27,1.15747,1.21795,1.65789,0.79008,0.73895,0.83974,0.5936,1.0884,1.15947,1.61586,0.000896846,0.000896846,0.000896846
16,1117.48,1.08477,1.1701,1.59685,0.82976,0.82787,0.87178,0.63715,1.01949,1.1114,1.59299,0.000841835,0.000841835,0.000841835
17,1187.62,1.15581,1.20486,1.66127,0.82883,0.77123,0.85002,0.63375,1.09363,1.31974,1.61349,0.000786824,0.000786824,0.000786824
18,1258.21,1.10347,1.18565,1.63997,0.78886,0.738,0.83283,0.58092,1.15731,1.18451,1.70738,0.000731813,0.000731813,0.000731813
19,1328.9,1.16393,1.23365,1.65266,0.76427,0.79928,0.85171,0.62594,1.04642,1.07263,1.57559,0.000676802,0.000676802,0.000676802
20,1399.39,1.09511,1.09215,1.57867,0.83412,0.74506,0.85948,0.61305,1.10026,1.11497,1.61422,0.000621791,0.000621791,0.000621791
21,1469.1,0.94151,1.17715,1.47112,0.77626,0.78992,0.83441,0.60072,1.03376,1.10956,1.55728,0.00056678,0.00056678,0.00056678
22,1538.88,0.88919,1.05352,1.43517,0.83159,0.70858,0.81697,0.60323,1.01397,1.1852,1.58626,0.000511769,0.000511769,0.000511769
23,1608.73,0.85532,0.97589,1.43454,0.78328,0.78672,0.8664,0.64327,0.95472,1.02886,1.52424,0.000456758,0.000456758,0.000456758
24,1678.82,0.88337,0.92201,1.43439,0.84941,0.74031,0.85648,0.62848,0.98667,1.15995,1.55216,0.000401747,0.000401747,0.000401747
25,1748.12,0.8321,0.86938,1.40109,0.87066,0.77538,0.88842,0.65797,0.97155,0.98702,1.52713,0.000346736,0.000346736,0.000346736
26,1817.29,0.78412,0.99938,1.40804,0.85057,0.7626,0.88473,0.65363,0.95714,0.96858,1.51704,0.000291725,0.000291725,0.000291725
27,1886.2,0.80471,0.88916,1.36335,0.80248,0.82723,0.88106,0.68257,0.97192,0.9654,1.55108,0.000236714,0.000236714,0.000236714
28,1955.22,0.78256,0.89195,1.36226,0.77983,0.84891,0.87864,0.68079,0.95683,0.96588,1.5013,0.000181703,0.000181703,0.000181703
29,2024.02,0.76171,0.7975,1.28286,0.86983,0.75608,0.87522,0.68245,0.92363,0.95989,1.47068,0.000126692,0.000126692,0.000126692
30,2092.92,0.76981,0.83733,1.35204,0.82486,0.79418,0.87578,0.67268,0.91779,0.95543,1.4691,7.1681e-05,7.1681e-05,7.1681e-05
